t=2026-07-17T10:36:33+0500 lvl=info msg="no configuration paths supplied"
t=2026-07-17T10:36:33+0500 lvl=info msg="using configuration at default config path" path="C:\\Users\\Hassan Irfan\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-07-17T10:36:34+0500 lvl=info msg="open config file" path="C:\\Users\\Hassan Irfan\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=b17eb6f3e057 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=0a746ebc8af4 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=32f89ad159cd l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=c7dfd0b8374d l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=4eb1dcc960bd l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=1a6c002ffb24 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=ddcfbdae33bd l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=154ffef14370 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=ae6804d0cf91 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=fb171934c68c l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=8d708a7c51e9 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=e469506b0f44 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=03752aac91de l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=dc15ee8c0ec7 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=ee0fe7e241cd l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=d8234a22856e l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=7eb7b688ee20 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=a161ce1a5bbe l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=26c0c9abbcda l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=7d0a27bf4f21 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=2cb833cc93cc l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=2d84fc0b1c7c l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=2697a216bb04 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=ed8573546274 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=e905c6bf041c l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:24+0500 lvl=info msg="join connections" obj=join id=bc0e6befb909 l=[::1]:3000 r=39.37.177.33:22100
t=2026-07-17T10:37:30+0500 lvl=info msg="join connections" obj=join id=cff78ba8ad9e l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:30+0500 lvl=info msg="join connections" obj=join id=1ddd4707cfea l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:30+0500 lvl=info msg="join connections" obj=join id=d6b8110949a0 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:30+0500 lvl=info msg="join connections" obj=join id=e8179570e66f l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=86f5aca54f3b l=[::1]:3000 r=39.37.177.33:52277
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=66b5873f419c l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=d43e7c2d6f1f l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=3717dbdd47ec l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=b13db8f232e5 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=3d5bf3511f60 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=0277d70ffd9c l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=61b12c0cbe8e l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=145c191fea38 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=82d1320ca71d l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=9f9d3882efcf l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=ea0684f54ba5 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=a055399669f5 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=e685388974fb l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=2837812dcf76 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=8347947bd2d9 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=3483eb6de41a l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=c9c6e6f7a1a1 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=4f85707ffb39 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=bd44149b5ad8 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=a0a26ce39189 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=9912595a6e7f l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=6e47ffeac4ca l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=5a6d589d80f7 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=b2ec79686e31 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=6769ebc7cc83 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=9c7fdcfaec2d l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=f71528a45c43 l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:31+0500 lvl=info msg="join connections" obj=join id=b5a240876ecc l=[::1]:3000 r=39.37.177.33:49795
t=2026-07-17T10:37:32+0500 lvl=info msg="join connections" obj=join id=08df26601614 l=[::1]:3000 r=39.37.177.33:22105
t=2026-07-17T10:40:52+0500 lvl=info msg="join connections" obj=join id=fdd583357ec9 l=[::1]:3000 r=39.37.177.33:58274
t=2026-07-17T10:40:52+0500 lvl=info msg="join connections" obj=join id=87f2b6a98e9a l=[::1]:3000 r=39.37.177.33:58274
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=2fa4f63605a1 l=[::1]:3000 r=39.37.177.33:58274
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=914f56a0d3be l=[::1]:3000 r=39.37.177.33:58274
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=7326f70c031f l=[::1]:3000 r=39.37.177.33:58274
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=d245c9f860fc l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=c5537a05d95b l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=cc234bfadf3d l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=bdb70b02c0b2 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=675842fc706a l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=6cb32d467b36 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=e002568a9408 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=a08c425a00d7 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=023e21d83a16 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=40d91960060e l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=71e6efc3e746 l=[::1]:3000 r=39.37.177.33:53856
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=ef18269fb7c8 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=00e8f3f84672 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=aec8d598e96f l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=1f34f2acf977 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=dfc8bd5527b4 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=cbb74064e743 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=e67662e6bd87 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=f09b70292de5 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=e636f4e00a00 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=149ab78323f0 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=253ef85dd0d7 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=80dc28f8df80 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=e1eb3a88e739 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=11065571f38c l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=41ebc85648ab l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=345e3b340d78 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=a8e44f4fab3a l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=e78360113fb9 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=5de20830daeb l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:54+0500 lvl=info msg="join connections" obj=join id=8d90bc4b7502 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:55+0500 lvl=info msg="join connections" obj=join id=852169735564 l=[::1]:3000 r=39.37.177.33:61673
t=2026-07-17T10:40:58+0500 lvl=info msg="join connections" obj=join id=f612aa2684ee l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:58+0500 lvl=info msg="join connections" obj=join id=76e73c9d2707 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:59+0500 lvl=info msg="join connections" obj=join id=ef5c2f3313e8 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:40:59+0500 lvl=info msg="join connections" obj=join id=fbfa3dd128e3 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=9b7d7ddaf13b l=[::1]:3000 r=39.37.177.33:64644
